id,cords,weight
717107,55.364;37.5603,0.00
717108,55.724266;37.642806,0.00
717109,55.724266;37.642806,0.00
717110,55.794452;37.718238,0.00
717111,55.753372;37.791513,0.00
717112,55.751254;37.816271,0.00
717113,55.648169;37.736312,0.00
717114,55.648169;37.736312,0.00
717115,55.64762;37.72157,0.00
717116,55.647844;37.741782,0.00
717117,55.649825;37.770043,0.00
717118,55.631366;37.850074,0.00
717119,55.637439;37.762399,0.00
717120,55.84583;37.559721,0.00
717121,55.592464;37.632089,0.00
717122,55.592464;37.632089,0.00
717123,55.592464;37.632089,0.00
717124,55.592464;37.632089,0.00
717125,55.592464;37.632089,0.00
717126,55.653142;37.439984,0.00
717127,55.640645;37.34302,0.00
717128,55.809469;37.464571,0.00
717129,55.712771;37.377489,0.00
717130,55.90416;36.856933,0.00
717131,55.857816;37.385008,0.00
717132,55.817223;37.387676,0.00
717133,55.817223;37.387676,0.00
717134,55.972655;37.306692,0.00
717135,55.321748;38.673102,0.00
717136,55.585291;37.731245,0.00
717137,55.615426;37.346982,0.00
717138,55.365023;37.563305,0.00
717139,55.365023;37.563305,0.00
717140,55.785989;37.246164,0.00
717141,55.785989;37.246164,0.00
717142,55.74263;37.709515,0.00
717143,55.74263;37.709515,0.00
717144,55.90416;36.856933,0.30
717145,55.488014;37.300431,1.11
717146,55.694819;37.803074,0.39
717147,55.909055;38.056094,1.57
717148,56.32775;37.521956,0.06
717149,56.32775;37.521956,0.08
717150,55.604092;37.539024,0.55
717151,55.857947;37.564805,0.71
717152,55.897801;37.588386,0.08
717153,55.897801;37.588386,0.52
717154,55.724124;37.825155,0.52
717155,55.747155;37.862139,0.52
717156,55.677438;37.664842,0.52
717157,55.84583;37.559721,0.52
717158,55.647534;37.595555,0.52
717159,55.805498;37.414526,0.52
717160,55.274508;38.732103,0.21
717161,55.264619;38.738751,0.21
717162,55.248914;38.76208,0.21
717163,55.275395;38.749953,0.21
717164,55.445676;37.626026,1.92
717165,55.749638;38.011699,0.41
717166,55.749638;38.011699,0.44
717167,55.803848;37.606083,26.83
717168,55.653736;37.61662,0.39
717169,55.650368;37.405705,0.39
717170,55.827403;37.517671,0.39
717171,55.827403;37.517671,0.39
717172,56.028042;36.807319,0.39
717173,55.816141;37.329878,0.39
717174,55.81607;37.340604,0.39
717175,56.348422;37.524992,0.39
717176,55.40545;38.657175,0.39
717177,55.456867;38.442495,0.39
717178,54.886538;38.06691,0.39
717179,54.835953;38.149842,0.39
717180,55.633775;37.613476,0.83
717181,55.645517;37.342373,0.66
717182,55.595852;37.614302,0.42
717183,54.888589;38.072695,2.03
717184,55.909065;37.539248,0.24
717185,55.84583;37.559721,0.29
717186,56.077458;35.988334,0.62
717187,55.604483;37.489526,0.40
